time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),dew_point_2m (°C),wind_speed_10m (km/h),is_day ()
1995-01-01T00:00,13.0,96,0.00,912.0,12.5,8.4,0
1995-01-01T06:00,23.6,35,0.00,916.0,7.2,9.4,1
1995-01-01T12:00,24.2,30,0.00,912.6,5.5,6.9,1
1995-01-01T18:00,15.3,71,0.00,913.3,10.2,10.9,0
1995-01-02T00:00,11.5,96,0.00,910.7,10.9,7.6,0
1995-01-02T06:00,23.1,25,0.00,915.4,2.1,10.8,1
1995-01-02T12:00,23.5,33,0.00,912.1,6.4,7.3,1
1995-01-02T18:00,15.4,78,0.00,913.1,11.6,11.4,0
1995-01-03T00:00,12.9,99,0.00,911.2,12.8,11.2,0
1995-01-03T06:00,23.2,30,0.00,914.7,4.9,8.3,1
1995-01-03T12:00,24.1,35,0.00,911.3,7.8,7.5,1
1995-01-03T18:00,16.8,77,0.00,912.8,12.7,13.7,0
1995-01-04T00:00,15.9,91,0.00,911.7,14.5,13.0,0
1995-01-04T06:00,23.4,44,0.00,915.2,10.5,5.8,1
1995-01-04T12:00,24.5,38,0.00,911.9,9.3,7.9,1
1995-01-04T18:00,16.8,86,0.00,913.4,14.4,15.8,0
1995-01-05T00:00,15.5,97,0.00,912.8,15.0,10.2,0
1995-01-05T06:00,23.6,49,0.00,915.8,12.4,11.4,1
1995-01-05T12:00,24.6,40,0.00,912.4,10.1,9.8,1
1995-01-05T18:00,17.3,86,0.00,913.8,14.9,15.1,0
1995-01-06T00:00,17.0,91,0.00,913.4,15.5,9.0,0
1995-01-06T06:00,21.6,58,0.00,916.5,12.9,13.3,1
1995-01-06T12:00,22.0,52,0.00,912.9,11.6,9.8,1
1995-01-06T18:00,19.2,68,0.00,914.5,13.2,10.9,0
1995-01-07T00:00,17.6,87,0.10,912.7,15.4,14.2,0
1995-01-07T06:00,19.1,75,0.10,916.2,14.5,7.5,1
1995-01-07T12:00,18.6,88,2.00,912.5,16.5,5.6,1
1995-01-07T18:00,17.8,96,0.00,914.4,17.1,10.3,0
1995-01-08T00:00,17.6,99,0.00,912.3,17.5,9.0,0
1995-01-08T06:00,24.0,63,0.20,915.0,16.5,8.5,1
1995-01-08T12:00,24.5,55,0.10,911.0,15.0,4.7,1
1995-01-08T18:00,18.5,95,0.00,913.4,17.7,13.3,0
1995-01-09T00:00,19.0,93,0.00,912.4,17.8,5.7,0
1995-01-09T06:00,24.8,56,0.00,915.0,15.4,5.6,1
1995-01-09T12:00,26.2,46,0.00,911.6,13.6,3.9,1
1995-01-09T18:00,19.2,89,0.00,913.2,17.3,9.7,0
1995-01-10T00:00,17.2,98,0.00,911.6,16.9,5.6,0
1995-01-10T06:00,23.7,67,0.30,914.5,17.1,6.4,1
1995-01-10T12:00,23.7,64,0.70,911.5,16.6,4.9,1
1995-01-10T18:00,19.3,90,0.30,913.5,17.6,12.4,0
1995-01-11T00:00,18.8,93,0.50,912.7,17.6,10.8,0
1995-01-11T06:00,23.1,68,0.80,914.8,16.8,12.5,1
1995-01-11T12:00,24.8,53,0.00,911.6,14.6,6.1,1
1995-01-11T18:00,17.7,93,0.00,912.6,16.5,9.5,0
1995-01-12T00:00,17.2,97,0.00,912.0,16.8,4.9,0
1995-01-12T06:00,25.1,50,0.00,915.5,14.0,9.1,1
1995-01-12T12:00,26.3,34,0.00,911.6,9.4,5.6,1
1995-01-12T18:00,17.8,67,0.00,911.3,11.5,2.3,0
1995-01-13T00:00,16.3,99,0.00,910.4,16.1,7.4,0
1995-01-13T06:00,25.5,45,0.00,914.4,12.7,10.0,1
1995-01-13T12:00,25.4,43,0.00,910.2,11.8,6.8,1
1995-01-13T18:00,18.0,89,0.00,912.3,16.1,14.6,0
1995-01-14T00:00,16.7,91,0.00,911.0,15.3,9.5,0
1995-01-14T06:00,22.4,59,0.00,914.2,14.1,13.6,1
1995-01-14T12:00,23.1,55,0.00,911.0,13.6,10.8,1
1995-01-14T18:00,17.6,92,0.00,912.3,16.4,14.7,0
1995-01-15T00:00,17.6,90,0.00,911.8,16.0,8.0,0
1995-01-15T06:00,22.5,61,0.00,914.8,14.5,15.9,1
1995-01-15T12:00,22.8,61,0.30,911.9,15.0,13.9,1
1995-01-15T18:00,17.8,94,0.00,913.8,16.8,12.8,0
1995-01-16T00:00,17.2,95,0.00,912.5,16.5,11.3,0
1995-01-16T06:00,22.0,65,0.40,915.3,15.2,12.6,1
1995-01-16T12:00,22.1,67,0.50,911.6,15.8,10.5,1
1995-01-16T18:00,17.9,94,0.00,913.7,16.9,12.0,0
1995-01-17T00:00,16.1,96,0.00,912.3,15.5,9.4,0
1995-01-17T06:00,24.1,53,0.00,915.8,14.0,12.2,1
1995-01-17T12:00,21.2,74,1.40,912.9,16.3,14.2,1
1995-01-17T18:00,17.6,91,0.20,915.2,16.1,17.8,0
1995-01-18T00:00,15.4,85,0.00,912.9,12.9,14.8,0
1995-01-18T06:00,22.4,60,0.00,916.1,14.1,18.7,1
1995-01-18T12:00,21.4,66,0.00,913.2,14.7,15.5,1
1995-01-18T18:00,18.2,84,0.00,915.5,15.4,13.1,0
1995-01-19T00:00,16.8,92,0.00,913.9,15.4,14.0,0
1995-01-19T06:00,22.1,66,0.00,917.0,15.6,18.7,1
1995-01-19T12:00,20.7,75,0.10,913.3,16.1,12.4,1
1995-01-19T18:00,18.4,88,0.00,915.1,16.4,8.0,0
1995-01-20T00:00,16.2,99,0.00,912.1,16.1,10.8,0
1995-01-20T06:00,24.6,54,0.00,915.8,14.8,11.3,1
1995-01-20T12:00,26.3,40,0.00,912.1,11.6,6.8,1
1995-01-20T18:00,17.2,94,0.00,912.8,16.2,8.0,0
1995-01-21T00:00,15.8,99,0.00,911.6,15.6,9.9,0
1995-01-21T06:00,24.9,42,0.00,915.5,11.2,7.6,1
1995-01-21T12:00,26.3,34,0.00,912.1,9.2,9.0,1
1995-01-21T18:00,16.9,79,0.00,913.2,13.3,9.0,0
1995-01-22T00:00,13.0,97,0.00,910.7,12.6,6.8,0
1995-01-22T06:00,27.1,25,0.00,915.9,5.1,12.7,1
1995-01-22T12:00,26.6,29,0.00,912.8,6.9,9.0,1
1995-01-22T18:00,17.1,78,0.00,913.8,13.3,10.6,0
1995-01-23T00:00,13.4,95,0.00,910.8,12.7,7.6,0
1995-01-23T06:00,26.9,26,0.00,916.3,6.0,5.6,1
1995-01-23T12:00,28.3,20,0.00,912.7,3.4,5.0,1
1995-01-23T18:00,17.6,84,0.00,913.7,14.9,12.2,0
1995-01-24T00:00,15.4,98,0.00,911.7,15.1,7.6,0
1995-01-24T06:00,25.6,36,0.00,916.0,9.6,11.0,1
1995-01-24T12:00,26.0,32,0.00,912.7,8.3,10.4,1
1995-01-24T18:00,17.2,76,0.00,914.2,12.9,13.4,0
1995-01-25T00:00,14.6,97,0.00,912.7,14.2,9.4,0
1995-01-25T06:00,25.0,27,0.00,917.1,4.7,13.1,1
1995-01-25T12:00,25.7,24,0.00,913.7,3.9,10.1,1
1995-01-25T18:00,16.7,69,0.00,915.3,11.0,13.3,0
1995-01-26T00:00,13.9,99,0.00,912.8,13.7,9.4,0
1995-01-26T06:00,24.4,30,0.00,917.0,5.6,13.8,1
1995-01-26T12:00,25.2,26,0.00,914.0,4.4,11.5,1
1995-01-26T18:00,16.5,66,0.00,915.3,10.2,12.9,0
1995-01-27T00:00,14.2,96,0.00,912.9,13.6,9.5,0
1995-01-27T06:00,24.0,35,0.00,916.6,7.8,10.7,1
1995-01-27T12:00,25.5,34,0.00,913.1,8.3,9.1,1
1995-01-27T18:00,18.0,84,0.00,915.3,15.2,15.2,0
1995-01-28T00:00,15.9,91,0.00,913.7,14.5,9.8,0
1995-01-28T06:00,23.2,48,0.00,916.5,11.6,11.9,1
1995-01-28T12:00,25.1,39,0.00,913.0,10.3,9.6,1
1995-01-28T18:00,17.2,77,0.00,914.4,13.2,13.0,0
1995-01-29T00:00,15.3,90,0.00,913.5,13.7,10.5,0
1995-01-29T06:00,24.1,37,0.00,916.5,8.5,9.8,1
1995-01-29T12:00,25.9,36,0.00,912.9,9.8,9.4,1
1995-01-29T18:00,17.2,79,0.00,914.1,13.6,13.3,0
1995-01-30T00:00,15.9,87,0.00,913.5,13.8,12.0,0
1995-01-30T06:00,24.4,43,0.00,916.2,11.0,8.5,1
1995-01-30T12:00,26.9,29,0.00,913.7,7.6,10.0,1
1995-01-30T18:00,17.4,78,0.00,914.2,13.5,14.1,0
1995-01-31T00:00,15.1,97,0.00,913.2,14.7,12.7,0
1995-01-31T06:00,25.1,47,0.00,916.2,13.0,13.0,1
1995-01-31T12:00,25.9,40,0.00,913.7,11.1,14.3,1
1995-01-31T18:00,17.6,90,0.00,914.8,16.0,15.2,0
1995-02-01T00:00,16.6,93,0.00,913.8,15.5,9.4,0
1995-02-01T06:00,25.4,47,0.00,916.9,13.3,10.7,1
1995-02-01T12:00,27.1,35,0.00,914.0,10.1,11.4,1
1995-02-01T18:00,18.4,86,0.00,915.3,16.0,14.5,0
1995-02-02T00:00,16.7,94,0.00,913.9,15.8,9.8,0
1995-02-02T06:00,25.3,42,0.00,916.7,11.6,11.2,1
1995-02-02T12:00,27.2,34,0.00,913.7,10.0,11.6,1
1995-02-02T18:00,18.8,80,0.00,915.1,15.2,14.6,0
1995-02-03T00:00,17.2,91,0.00,913.2,15.8,8.4,0
1995-02-03T06:00,26.1,43,0.00,916.5,12.6,9.8,1
1995-02-03T12:00,27.2,36,0.00,913.0,10.9,10.3,1
1995-02-03T18:00,18.9,79,0.00,914.5,15.1,14.1,0
1995-02-04T00:00,17.3,91,0.00,912.8,15.8,10.4,0
1995-02-04T06:00,26.0,41,0.00,916.0,11.7,9.0,1
1995-02-04T12:00,27.7,31,0.00,912.6,8.8,10.9,1
1995-02-04T18:00,19.2,87,0.00,914.6,17.1,15.8,0
1995-02-05T00:00,17.3,94,0.00,913.1,16.3,9.1,0
1995-02-05T06:00,25.3,48,0.00,917.1,13.5,10.8,1
1995-02-05T12:00,27.1,35,0.00,913.5,10.4,12.9,1
1995-02-05T18:00,18.6,91,0.00,915.2,17.1,13.5,0
1995-02-06T00:00,17.6,92,0.00,913.9,16.2,11.9,0
1995-02-06T06:00,25.1,37,0.00,917.2,9.3,14.8,1
1995-02-06T12:00,26.0,29,0.00,913.8,6.8,15.9,1
1995-02-06T18:00,17.5,69,0.00,915.4,11.8,11.3,0
1995-02-07T00:00,14.3,99,0.00,913.4,14.1,9.1,0
1995-02-07T06:00,25.9,24,0.00,917.5,3.9,14.2,1
1995-02-07T12:00,26.0,29,0.00,914.1,6.4,16.8,1
1995-02-07T18:00,17.2,71,0.00,915.0,12.0,11.2,0
1995-02-08T00:00,14.6,99,0.00,912.9,14.5,10.8,0
1995-02-08T06:00,27.1,20,0.00,916.5,1.9,13.4,1
1995-02-08T12:00,27.2,28,0.00,912.8,7.2,12.1,1
1995-02-08T18:00,18.6,68,0.00,914.1,12.7,10.9,0
1995-02-09T00:00,14.9,93,0.00,912.0,13.8,6.4,0
1995-02-09T06:00,27.6,32,0.00,916.1,9.3,5.6,1
1995-02-09T12:00,29.4,26,0.00,912.5,7.8,6.7,1
1995-02-09T18:00,20.5,62,0.00,913.6,12.9,12.4,0
1995-02-10T00:00,16.3,94,0.00,911.1,15.3,5.6,0
1995-02-10T06:00,28.5,36,0.00,915.3,12.0,9.2,1
1995-02-10T12:00,29.2,29,0.00,911.8,9.3,10.3,1
1995-02-10T18:00,20.4,68,0.00,912.7,14.2,11.1,0
1995-02-11T00:00,16.7,91,0.00,911.3,15.2,6.6,0
1995-02-11T06:00,27.9,33,0.00,915.5,10.0,7.2,1
1995-02-11T12:00,29.5,25,0.00,911.9,7.3,11.0,1
1995-02-11T18:00,20.3,58,0.00,913.5,11.8,12.6,0
