time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),dew_point_2m (°C),wind_speed_10m (km/h),is_day ()
1995-01-01T00:00,20.1,88,0.00,1012.8,18.1,11.0,0
1995-01-01T06:00,26.4,53,0.00,1014.7,16.1,18.1,1
1995-01-01T12:00,24.3,65,0.00,1011.9,17.2,13.7,1
1995-01-01T18:00,20.8,84,0.00,1013.6,18.0,10.2,0
1995-01-02T00:00,19.9,89,0.00,1012.0,18.0,7.4,0
1995-01-02T06:00,25.6,57,0.00,1014.3,16.4,14.4,1
1995-01-02T12:00,24.5,61,0.00,1011.3,16.6,12.0,1
1995-01-02T18:00,21.2,78,0.00,1013.5,17.1,9.4,0
1995-01-03T00:00,20.5,85,0.00,1011.8,17.9,9.7,0
1995-01-03T06:00,26.4,58,0.00,1013.4,17.4,13.8,1
1995-01-03T12:00,25.0,65,0.00,1010.6,17.9,12.4,1
1995-01-03T18:00,22.1,78,0.00,1013.2,18.1,11.4,0
1995-01-04T00:00,20.8,83,0.00,1011.9,17.9,9.8,0
1995-01-04T06:00,26.2,58,0.00,1014.1,17.3,15.1,1
1995-01-04T12:00,24.5,68,0.00,1011.6,18.1,16.6,1
1995-01-04T18:00,22.2,77,0.00,1013.9,18.0,10.3,0
1995-01-05T00:00,21.3,85,0.00,1013.0,18.6,10.5,0
1995-01-05T06:00,26.5,62,0.00,1014.8,18.6,19.2,1
1995-01-05T12:00,24.6,70,0.10,1012.1,18.8,18.0,1
1995-01-05T18:00,22.3,81,0.00,1014.4,18.8,10.4,0
1995-01-06T00:00,22.0,83,0.00,1013.4,18.9,12.0,0
1995-01-06T06:00,26.5,60,0.00,1015.2,18.1,15.9,1
1995-01-06T12:00,24.8,70,0.00,1012.2,19.0,17.5,1
1995-01-06T18:00,23.2,78,0.10,1014.3,19.2,10.0,0
1995-01-07T00:00,23.2,84,0.00,1012.8,20.4,10.5,0
1995-01-07T06:00,24.0,89,5.70,1014.9,22.0,15.2,1
1995-01-07T12:00,23.5,93,6.90,1012.3,22.4,10.1,1
1995-01-07T18:00,22.5,96,4.50,1013.9,21.8,6.2,0
1995-01-08T00:00,22.4,95,2.50,1011.5,21.6,5.4,0
1995-01-08T06:00,27.0,76,0.50,1013.1,22.5,10.2,1
1995-01-08T12:00,25.6,81,1.20,1009.7,22.0,10.0,1
1995-01-08T18:00,23.3,94,0.00,1012.2,22.3,5.9,0
1995-01-09T00:00,22.1,97,0.00,1010.9,21.5,5.9,0
1995-01-09T06:00,28.1,70,0.00,1012.7,22.0,7.3,1
1995-01-09T12:00,26.0,80,0.10,1009.3,22.2,10.9,1
1995-01-09T18:00,23.8,90,0.00,1012.3,22.1,9.4,0
1995-01-10T00:00,23.0,92,0.10,1010.8,21.6,7.6,0
1995-01-10T06:00,26.6,79,0.30,1012.8,22.8,10.8,1
1995-01-10T12:00,25.5,78,0.00,1010.2,21.4,14.5,1
1995-01-10T18:00,23.5,87,0.00,1012.7,21.2,9.5,0
1995-01-11T00:00,23.0,91,0.00,1011.5,21.4,7.2,0
1995-01-11T06:00,27.4,66,0.00,1013.2,20.5,12.8,1
1995-01-11T12:00,25.8,73,0.00,1010.1,20.5,11.0,1
1995-01-11T18:00,23.5,88,0.00,1012.5,21.4,8.8,0
1995-01-12T00:00,22.5,95,0.00,1010.9,21.6,5.7,0
1995-01-12T06:00,27.4,74,0.50,1013.4,22.4,5.4,1
1995-01-12T12:00,25.8,80,0.40,1009.4,22.0,12.3,1
1995-01-12T18:00,23.5,90,0.00,1011.6,21.8,10.8,0
1995-01-13T00:00,22.3,94,1.40,1010.4,21.3,8.5,0
1995-01-13T06:00,25.4,79,1.10,1012.7,21.5,8.0,1
1995-01-13T12:00,23.2,85,2.10,1009.7,20.6,14.3,1
1995-01-13T18:00,22.3,93,0.60,1011.7,21.1,8.2,0
1995-01-14T00:00,21.5,92,1.30,1010.7,20.2,10.2,0
