time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),dew_point_2m (°C),wind_speed_10m (km/h),is_day ()
1995-01-01T00:00,4.3,87,0.00,990.9,2.3,7.6,0
1995-01-01T06:00,16.5,31,0.00,993.8,-0.6,7.2,1
1995-01-01T12:00,17.1,30,0.00,990.6,-0.8,7.6,1
1995-01-01T18:00,8.5,60,0.00,991.3,1.2,8.3,0
1995-01-02T00:00,5.3,85,0.00,990.3,3.0,7.4,0
1995-01-02T06:00,17.1,34,0.00,992.6,1.1,2.5,1
1995-01-02T12:00,18.2,30,0.00,988.7,0.6,5.3,1
1995-01-02T18:00,9.0,64,0.00,989.5,2.6,9.7,0
1995-01-03T00:00,7.2,67,0.00,987.9,1.5,8.1,0
1995-01-03T06:00,19.1,30,0.00,990.2,1.3,14.2,1
1995-01-03T12:00,18.7,35,0.00,987.8,3.0,8.0,1
1995-01-03T18:00,13.1,49,0.00,990.0,2.5,9.4,0
1995-01-04T00:00,9.2,64,0.00,990.0,2.8,7.6,0
1995-01-04T06:00,18.9,38,0.00,993.0,4.4,10.1,1
1995-01-04T12:00,18.5,40,0.00,989.8,4.6,9.2,1
1995-01-04T18:00,10.6,72,0.00,992.3,5.8,7.7,0
1995-01-05T00:00,7.8,88,0.00,992.9,6.0,6.5,0
1995-01-05T06:00,19.1,46,0.00,996.0,7.2,7.7,1
1995-01-05T12:00,19.8,43,0.00,992.9,6.8,5.4,1
1995-01-05T18:00,13.0,70,0.00,994.3,7.6,6.8,0
1995-01-06T00:00,10.4,77,0.00,994.3,6.5,7.2,0
1995-01-06T06:00,19.3,44,0.00,996.3,6.8,5.6,1
1995-01-06T12:00,19.8,39,0.00,993.4,5.5,1.5,1
1995-01-06T18:00,11.1,76,0.00,995.1,7.1,5.2,0
1995-01-07T00:00,8.1,92,0.00,994.7,6.9,5.5,0
1995-01-07T06:00,20.8,47,0.00,996.9,9.0,12.1,1
1995-01-07T12:00,20.6,43,0.00,992.9,7.5,6.8,1
1995-01-07T18:00,14.6,64,0.20,992.7,7.8,9.2,0
1995-01-08T00:00,12.6,87,4.50,988.9,10.5,12.0,0
1995-01-08T06:00,13.1,87,16.30,987.7,11.0,21.1,1
1995-01-08T12:00,13.7,93,14.80,981.9,12.6,30.1,1
1995-01-08T18:00,13.4,97,33.60,985.7,12.9,11.2,0
1995-01-09T00:00,10.0,96,0.90,987.3,9.5,7.0,0
1995-01-09T06:00,15.0,67,0.00,991.9,8.9,2.3,1
1995-01-09T12:00,15.4,61,0.00,990.7,8.0,3.4,1
1995-01-09T18:00,9.8,98,0.00,994.0,9.5,6.4,0
1995-01-10T00:00,9.4,99,0.00,993.9,9.3,7.1,0
1995-01-10T06:00,14.1,75,0.00,996.4,9.7,4.6,1
1995-01-10T12:00,15.6,61,0.00,992.8,8.1,4.4,1
1995-01-10T18:00,9.2,91,0.00,993.8,7.8,7.7,0
1995-01-11T00:00,7.2,94,0.00,992.6,6.3,9.2,0
1995-01-11T06:00,15.0,67,0.00,994.6,8.9,12.9,1
1995-01-11T12:00,15.1,62,0.00,991.3,7.8,8.4,1
1995-01-11T18:00,8.9,86,0.00,993.2,6.6,10.0,0
1995-01-12T00:00,6.7,92,0.00,992.8,5.5,9.1,0
1995-01-12T06:00,15.2,57,0.00,995.5,6.7,12.0,1
1995-01-12T12:00,14.8,55,0.00,992.0,6.0,7.7,1
1995-01-12T18:00,7.7,84,0.00,993.3,5.1,7.1,0
1995-01-13T00:00,5.4,92,0.00,991.8,4.2,6.3,0
1995-01-13T06:00,15.4,52,0.00,994.0,5.6,6.1,1
1995-01-13T12:00,15.2,52,0.00,990.3,5.3,8.0,1
1995-01-13T18:00,8.6,82,0.00,992.4,5.7,4.3,0
1995-01-14T00:00,7.6,90,0.00,991.4,6.0,6.6,0
1995-01-14T06:00,14.1,63,0.00,994.3,7.1,4.2,1
1995-01-14T12:00,13.4,70,0.00,991.9,8.0,7.2,1
1995-01-14T18:00,11.1,83,0.00,993.3,8.4,4.7,0
1995-01-15T00:00,10.9,87,0.00,991.3,8.9,5.4,0
1995-01-15T06:00,14.5,75,0.40,995.5,10.1,3.8,1
1995-01-15T12:00,14.4,70,0.00,993.0,9.1,5.4,1
1995-01-15T18:00,10.6,87,0.00,994.7,8.5,9.3,0
1995-01-16T00:00,8.7,95,0.10,993.2,7.9,6.5,0
1995-01-16T06:00,14.9,68,0.30,996.6,9.1,9.3,1
1995-01-16T12:00,16.2,64,0.00,994.1,9.4,5.0,1
1995-01-16T18:00,11.7,84,0.00,996.2,9.1,6.4,0
1995-01-17T00:00,8.1,94,0.00,996.2,7.1,8.1,0
1995-01-17T06:00,16.0,64,0.00,999.6,9.3,16.1,1
1995-01-17T12:00,15.3,59,0.00,996.7,7.3,10.3,1
1995-01-17T18:00,8.9,86,0.00,998.5,6.7,12.0,0
1995-01-18T00:00,6.5,95,0.00,997.1,5.7,11.8,0
1995-01-18T06:00,14.4,63,0.00,998.3,7.5,13.0,1
1995-01-18T12:00,15.3,58,0.00,994.8,7.2,7.4,1
1995-01-18T18:00,8.2,82,0.00,995.0,5.3,8.9,0
1995-01-19T00:00,7.8,82,0.00,993.7,4.9,9.3,0
1995-01-19T06:00,15.5,48,0.00,995.7,4.4,9.8,1
1995-01-19T12:00,16.2,50,0.00,991.3,5.8,8.5,1
1995-01-19T18:00,8.1,87,0.00,991.6,6.1,7.4,0
1995-01-20T00:00,6.1,92,0.00,989.9,4.9,7.9,0
1995-01-20T06:00,16.2,50,0.00,991.5,5.8,10.6,1
1995-01-20T12:00,16.4,55,0.00,987.9,7.4,6.3,1
1995-01-20T18:00,9.2,88,0.00,989.6,7.4,8.8,0
1995-01-21T00:00,7.2,94,0.00,989.0,6.3,8.9,0
1995-01-21T06:00,17.3,60,0.00,991.6,9.4,13.8,1
1995-01-21T12:00,16.4,54,0.00,988.8,7.0,7.4,1
1995-01-21T18:00,9.4,80,0.00,990.7,6.1,10.9,0
1995-01-22T00:00,7.0,88,0.00,989.8,5.1,9.7,0
1995-01-22T06:00,16.3,41,0.00,992.6,3.1,17.1,1
1995-01-22T12:00,15.5,44,0.00,990.1,3.4,9.4,1
1995-01-22T18:00,7.6,76,0.00,991.8,3.5,8.0,0
1995-01-23T00:00,4.4,88,0.00,991.1,2.6,8.3,0
1995-01-23T06:00,16.1,37,0.00,994.1,1.5,12.6,1
1995-01-23T12:00,16.1,43,0.00,991.1,3.4,8.0,1
1995-01-23T18:00,7.2,81,0.00,992.1,4.1,9.2,0
1995-01-24T00:00,7.5,81,0.00,991.5,4.5,7.1,0
1995-01-24T06:00,17.5,41,0.00,994.1,3.9,8.8,1
1995-01-24T12:00,17.8,43,0.00,991.0,5.2,7.6,1
1995-01-24T18:00,9.1,78,0.00,992.6,5.4,9.7,0
1995-01-25T00:00,6.7,88,0.00,991.6,4.8,7.0,0
1995-01-25T06:00,18.6,48,0.00,995.1,7.4,5.5,1
1995-01-25T12:00,18.9,48,0.00,992.0,7.6,8.6,1
1995-01-25T18:00,10.3,83,0.00,993.9,7.5,9.2,0
1995-01-26T00:00,7.6,88,0.00,993.2,5.8,9.8,0
1995-01-26T06:00,17.6,44,0.00,995.5,5.2,15.2,1
1995-01-26T12:00,17.9,43,0.00,992.6,5.2,10.0,1
1995-01-26T18:00,10.4,67,0.00,993.7,4.5,10.9,0
1995-01-27T00:00,8.3,73,0.00,992.0,3.7,10.7,0
1995-01-27T06:00,18.4,43,0.00,995.8,5.6,11.6,1
1995-01-27T12:00,19.3,47,0.00,992.7,7.8,6.9,1
1995-01-27T18:00,12.2,72,0.00,993.9,7.4,8.4,0
1995-01-28T00:00,9.1,88,0.00,992.9,7.3,8.0,0
1995-01-28T06:00,19.4,49,0.00,996.0,8.4,12.8,1
1995-01-28T12:00,20.1,49,0.00,992.5,9.2,10.4,1
1995-01-28T18:00,12.5,78,0.00,993.4,8.7,9.7,0
1995-01-29T00:00,10.2,85,0.00,992.8,7.9,11.5,0
1995-01-29T06:00,19.7,45,0.00,995.0,7.5,17.2,1
1995-01-29T12:00,19.4,42,0.00,991.9,6.3,12.3,1
1995-01-29T18:00,11.5,67,0.00,992.7,5.6,10.7,0
1995-01-30T00:00,9.0,81,0.00,991.4,5.9,10.8,0
1995-01-30T06:00,19.3,41,0.00,994.3,5.7,16.0,1
1995-01-30T12:00,19.3,37,0.00,991.9,4.4,7.3,1
1995-01-30T18:00,10.4,70,0.00,993.1,5.2,9.2,0
1995-01-31T00:00,6.5,88,0.00,992.3,4.7,7.4,0
1995-01-31T06:00,19.9,38,0.00,995.0,5.2,11.5,1
1995-01-31T12:00,19.4,40,0.00,992.2,5.4,7.4,1
1995-01-31T18:00,9.8,80,0.00,993.9,6.6,9.7,0
1995-02-01T00:00,6.1,91,0.00,993.5,4.8,8.4,0
1995-02-01T06:00,19.5,41,0.00,995.7,5.8,8.9,1
1995-02-01T12:00,19.1,40,0.00,992.1,5.2,7.0,1
1995-02-01T18:00,9.9,77,0.00,993.1,6.0,7.9,0
1995-02-02T00:00,6.7,89,0.00,992.1,5.1,8.0,0
1995-02-02T06:00,18.9,39,0.00,994.0,4.6,6.5,1
1995-02-02T12:00,19.4,37,0.00,991.1,4.2,8.0,1
1995-02-02T18:00,10.2,71,0.00,992.5,5.3,9.2,0
1995-02-03T00:00,8.1,85,0.00,991.0,5.6,6.9,0
1995-02-03T06:00,19.7,35,0.00,993.5,4.0,2.7,1
1995-02-03T12:00,20.7,37,0.00,989.7,5.3,1.5,1
1995-02-03T18:00,11.5,67,0.00,992.1,5.5,6.8,0
1995-02-04T00:00,8.5,85,0.00,991.4,6.1,5.9,0
1995-02-04T06:00,20.7,39,0.00,994.7,6.2,6.3,1
1995-02-04T12:00,20.1,45,0.70,992.1,7.6,4.8,1
1995-02-04T18:00,10.3,83,0.00,993.4,7.5,6.5,0
1995-02-05T00:00,8.0,87,0.00,993.8,6.0,7.2,0
1995-02-05T06:00,19.0,45,0.00,996.5,6.8,6.6,1
1995-02-05T12:00,20.1,34,0.00,993.2,3.9,10.2,1
1995-02-05T18:00,11.3,69,0.00,994.7,5.7,7.6,0
1995-02-06T00:00,8.2,87,0.00,994.0,6.2,10.0,0
1995-02-06T06:00,20.1,41,0.00,996.7,6.3,14.4,1
1995-02-06T12:00,21.1,31,0.00,992.5,3.4,9.8,1
1995-02-06T18:00,11.8,58,0.00,994.3,3.8,9.3,0
1995-02-07T00:00,8.9,69,0.00,991.9,3.5,10.5,0
1995-02-07T06:00,21.4,33,0.00,994.8,4.4,14.3,1
1995-02-07T12:00,22.5,40,0.00,990.8,8.2,7.2,1
1995-02-07T18:00,14.3,73,0.00,991.8,9.4,8.4,0
1995-02-08T00:00,11.1,90,0.00,989.6,9.5,6.1,0
1995-02-08T06:00,23.3,43,0.00,990.6,9.9,13.7,1
1995-02-08T12:00,23.9,38,0.00,985.9,8.8,12.0,1
1995-02-08T18:00,15.5,72,0.00,987.2,10.5,10.2,0
1995-02-09T00:00,13.1,80,0.00,986.2,9.8,8.7,0
1995-02-09T06:00,23.7,41,0.00,989.0,9.8,10.7,1
1995-02-09T12:00,24.5,41,0.00,986.0,10.3,7.4,1
1995-02-09T18:00,15.8,72,0.00,987.8,10.8,8.7,0
1995-02-10T00:00,11.8,92,0.00,985.7,10.5,5.4,0
1995-02-10T06:00,25.0,40,0.00,989.2,10.6,2.7,1
1995-02-10T12:00,26.2,40,0.00,985.1,11.4,4.3,1
1995-02-10T18:00,17.4,71,0.00,986.5,12.0,8.8,0
1995-02-11T00:00,16.4,71,0.00,985.5,11.1,10.0,0
1995-02-11T06:00,23.6,51,0.00,988.7,12.8,17.1,1
1995-02-11T12:00,25.4,47,0.00,986.0,13.2,5.9,1
1995-02-11T18:00,18.9,68,0.00,988.1,12.8,13.0,0
1995-02-12T00:00,16.5,81,0.00,986.4,13.2,10.6,0
1995-02-12T06:00,24.8,49,0.00,988.7,13.4,14.3,1
1995-02-12T12:00,22.0,71,0.80,985.6,16.4,9.3,1
1995-02-12T18:00,16.2,88,5.80,986.7,14.2,8.0,0
1995-02-13T00:00,15.0,74,0.00,985.8,10.5,8.6,0
1995-02-13T06:00,23.7,50,0.00,988.4,12.6,10.2,1
1995-02-13T12:00,21.8,72,2.40,984.0,16.6,5.4,1
1995-02-13T18:00,16.7,90,3.30,984.6,15.1,11.6,0
1995-02-14T00:00,15.5,95,5.50,983.8,14.7,7.2,0
1995-02-14T06:00,22.5,61,1.70,985.8,14.5,14.8,1
1995-02-14T12:00,20.2,65,1.70,983.4,13.4,3.3,1
1995-02-14T18:00,14.2,98,0.00,987.5,13.8,7.4,0
1995-02-15T00:00,13.3,99,0.00,986.5,13.1,4.3,0
1995-02-15T06:00,17.8,74,0.00,989.3,13.2,11.5,1
1995-02-15T12:00,19.9,59,0.00,986.4,11.8,10.2,1
1995-02-15T18:00,13.2,89,0.00,987.5,11.5,7.1,0
