time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),dew_point_2m (°C),wind_speed_10m (km/h),is_day ()
1995-01-01T00:00,15.3,81,0.00,1015.8,12.0,10.5,0
1995-01-01T06:00,23.2,42,0.00,1017.0,9.6,8.7,1
1995-01-01T12:00,20.8,51,0.00,1014.4,10.3,6.7,0
1995-01-01T18:00,15.0,73,0.00,1015.8,10.2,6.9,0
1995-01-02T00:00,11.6,79,0.00,1015.5,8.2,7.6,0
1995-01-02T06:00,22.1,34,0.00,1016.1,5.3,6.8,1
1995-01-02T12:00,20.1,41,0.00,1013.6,6.4,9.4,0
1995-01-02T18:00,13.2,76,0.00,1015.9,9.0,9.7,0
1995-01-03T00:00,10.2,88,0.00,1015.9,8.3,8.3,0
1995-01-03T06:00,22.8,33,0.00,1016.6,5.7,8.2,1
1995-01-03T12:00,20.1,42,0.00,1014.5,6.7,9.4,0
1995-01-03T18:00,13.7,69,0.00,1016.1,8.1,9.3,0
1995-01-04T00:00,10.6,86,0.00,1016.4,8.4,7.9,0
1995-01-04T06:00,23.4,32,0.00,1017.8,5.8,7.9,1
1995-01-04T12:00,20.7,42,0.00,1015.1,7.4,9.7,0
1995-01-04T18:00,14.3,71,0.00,1017.0,9.1,10.4,0
1995-01-05T00:00,11.3,89,0.00,1017.6,9.6,7.8,0
1995-01-05T06:00,24.5,37,0.00,1018.8,8.7,7.9,1
1995-01-05T12:00,21.8,47,0.00,1016.6,10.0,9.4,0
1995-01-05T18:00,15.3,76,0.00,1017.9,11.1,9.2,0
1995-01-06T00:00,13.4,85,0.00,1017.9,11.0,6.6,0
1995-01-06T06:00,24.5,40,0.00,1019.3,9.9,7.2,1
1995-01-06T12:00,22.4,50,0.00,1017.5,11.3,7.9,0
1995-01-06T18:00,18.0,67,0.00,1018.9,11.8,6.9,0
1995-01-07T00:00,16.7,67,0.00,1018.8,10.7,9.2,0
1995-01-07T06:00,25.9,39,0.00,1019.4,11.0,9.0,1
1995-01-07T12:00,23.8,49,0.00,1016.9,12.6,9.1,0
1995-01-07T18:00,18.2,71,0.00,1018.2,13.0,7.6,0
1995-01-08T00:00,16.5,72,0.00,1016.4,11.4,9.9,0
1995-01-08T06:00,22.8,49,0.00,1016.1,11.5,9.8,1
1995-01-08T12:00,24.6,51,0.00,1014.3,13.8,4.7,0
1995-01-08T18:00,19.1,75,0.00,1016.3,14.5,5.4,0
1995-01-09T00:00,19.0,62,0.00,1016.8,11.6,10.7,0
1995-01-09T06:00,20.0,63,0.30,1017.8,12.7,13.8,1
1995-01-09T12:00,19.5,75,0.10,1015.7,14.9,9.1,0
1995-01-09T18:00,16.5,93,0.20,1017.0,15.4,7.6,0
1995-01-10T00:00,16.4,93,0.30,1015.9,15.2,4.8,0
1995-01-10T06:00,23.0,56,0.00,1017.1,13.7,9.1,1
1995-01-10T12:00,22.2,60,0.00,1014.4,14.0,6.6,0
1995-01-10T18:00,17.2,83,0.00,1015.7,14.4,7.2,0
1995-01-11T00:00,14.8,92,0.00,1015.7,13.5,8.4,0
1995-01-11T06:00,24.2,52,0.00,1017.0,13.8,12.3,1
1995-01-11T12:00,21.4,58,0.00,1013.8,12.7,6.2,0
1995-01-11T18:00,17.5,77,0.00,1015.5,13.4,8.0,0
1995-01-12T00:00,16.2,90,1.80,1016.2,14.6,5.2,0
1995-01-12T06:00,19.9,65,0.50,1016.7,13.2,10.0,1
