time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),dew_point_2m (°C),wind_speed_10m (km/h),is_day ()
1995-01-01T00:00,17.5,78,0.00,1013.3,13.7,4.6,0
1995-01-01T06:00,27.5,37,0.00,1014.6,11.4,6.2,1
1995-01-01T12:00,26.7,53,0.00,1011.1,16.3,10.8,1
1995-01-01T18:00,21.0,71,0.00,1013.7,15.7,4.7,0
1995-01-02T00:00,17.4,84,0.00,1012.5,14.6,5.1,0
1995-01-02T06:00,27.3,38,0.00,1013.5,11.6,5.1,1
1995-01-02T12:00,26.9,53,0.00,1010.8,16.6,9.1,1
1995-01-02T18:00,21.2,78,0.00,1013.7,17.3,2.9,0
1995-01-03T00:00,17.8,88,0.00,1012.5,15.7,7.7,0
1995-01-03T06:00,25.8,38,0.00,1013.9,10.5,5.5,1
1995-01-03T12:00,25.6,52,0.00,1010.3,15.0,9.4,1
1995-01-03T18:00,20.6,77,0.00,1013.1,16.4,7.3,0
1995-01-04T00:00,17.3,79,0.00,1012.6,13.5,4.7,0
1995-01-04T06:00,25.5,34,0.00,1014.6,8.7,6.5,1
1995-01-04T12:00,26.3,40,0.00,1010.7,11.5,8.9,1
1995-01-04T18:00,21.0,67,0.00,1013.5,14.7,11.6,0
1995-01-05T00:00,18.3,73,0.00,1012.5,13.5,8.0,0
1995-01-05T06:00,26.0,40,0.00,1013.7,11.4,6.1,1
1995-01-05T12:00,26.9,51,0.00,1010.8,15.8,11.1,1
1995-01-05T18:00,21.4,74,0.00,1013.9,16.6,2.7,0
1995-01-06T00:00,20.5,82,0.00,1012.5,17.3,1.1,0
1995-01-06T06:00,26.2,55,0.00,1014.0,16.5,5.2,1
1995-01-06T12:00,25.7,62,0.00,1011.1,17.9,8.0,1
1995-01-06T18:00,22.3,79,0.00,1013.8,18.5,5.3,0
1995-01-07T00:00,19.9,89,0.00,1012.2,17.9,6.2,0
1995-01-07T06:00,24.9,63,0.50,1014.9,17.5,12.4,1
1995-01-07T12:00,24.9,68,1.30,1011.0,18.6,7.9,1
1995-01-07T18:00,20.5,91,2.90,1013.1,18.9,12.2,0
1995-01-08T00:00,20.1,93,4.40,1011.9,18.9,5.4,0
1995-01-08T06:00,23.2,73,0.60,1013.6,18.2,5.1,1
1995-01-08T12:00,23.6,51,0.00,1010.7,12.7,12.3,1
1995-01-08T18:00,19.3,71,0.00,1014.1,14.0,2.4,0
1995-01-09T00:00,16.5,89,0.00,1013.4,14.6,4.9,0
1995-01-09T06:00,23.0,50,0.00,1016.5,12.0,3.9,1
1995-01-09T12:00,23.5,42,0.00,1012.9,9.7,9.2,1
1995-01-09T18:00,19.0,61,0.00,1015.5,11.4,11.0,0
1995-01-10T00:00,17.2,61,0.00,1013.7,9.7,8.6,0
1995-01-10T06:00,23.7,46,0.00,1015.3,11.3,8.1,1
1995-01-10T12:00,24.5,52,0.00,1011.5,14.0,13.8,1
1995-01-10T18:00,20.1,68,0.00,1014.5,13.9,9.9,0
1995-01-11T00:00,18.3,70,0.00,1013.6,12.8,8.0,0
1995-01-11T06:00,23.7,49,0.00,1014.9,12.5,6.7,1
1995-01-11T12:00,24.2,55,0.00,1011.7,14.7,13.0,1
1995-01-11T18:00,20.7,67,0.00,1014.5,14.4,11.5,0
1995-01-12T00:00,18.6,77,0.00,1014.1,14.5,9.8,0
1995-01-12T06:00,24.6,52,0.00,1016.7,14.1,10.0,1
1995-01-12T12:00,25.4,47,0.00,1012.3,13.3,9.7,1
1995-01-12T18:00,20.9,53,0.00,1014.7,11.1,12.6,0
1995-01-13T00:00,18.0,71,0.00,1013.0,12.6,8.7,0
1995-01-13T06:00,24.9,43,0.00,1015.1,11.5,9.4,1
1995-01-13T12:00,26.4,43,0.00,1010.2,12.9,8.2,1
1995-01-13T18:00,20.9,65,0.00,1012.7,14.0,4.7,0
1995-01-14T00:00,17.4,78,0.00,1011.2,13.5,9.3,0
1995-01-14T06:00,26.1,42,0.00,1013.8,12.1,10.3,1
1995-01-14T12:00,26.0,55,0.00,1010.1,16.3,9.4,1
